date,dau,new_users,d1_retention,new_user_d1_retention,csat_index,ai_effective_rate,activation_rate,first_session_completion,avg_response_time,negative_feedback_rate,follow_up_rate,losing_streak_share
2026-08-24,11480,768,37.1,31.2,80.9,84.6,62.6,67.0,4.47,21.8,22.1,18.5
2026-08-25,11406,686,37.3,31.1,80.8,85.5,62.9,64.3,4.34,21.8,21.8,18.3
2026-08-26,11535,664,36.4,31.2,80.1,84.4,62.8,64.0,4.81,20.4,23.0,19.0
2026-08-27,11602,854,37.1,31.1,80.3,85.0,61.9,63.5,4.75,21.4,23.4,19.3
2026-08-28,11532,699,36.0,30.9,80.7,84.5,64.4,64.3,4.94,21.0,22.6,18.7
2026-08-29,11458,747,36.8,30.3,80.4,84.7,63.3,63.9,4.58,20.8,23.9,20.3
2026-08-30,11755,841,37.2,30.2,81.3,85.1,62.5,63.1,5.08,20.7,23.7,19.4
2026-08-31,11606,747,37.0,29.9,80.2,84.6,63.0,63.5,4.63,21.0,24.4,20.2
2026-09-01,11839,708,36.8,31.1,80.8,84.2,63.6,62.7,4.89,21.2,24.3,20.1
2026-09-02,11850,749,37.3,30.1,82.0,84.8,64.4,63.1,5.0,20.8,24.7,21.0
2026-09-03,11725,705,37.8,30.1,81.2,85.2,63.8,63.4,5.32,20.0,25.0,20.5
2026-09-04,11977,678,37.8,30.5,81.7,86.9,64.1,62.9,4.99,20.0,24.4,20.4
2026-09-05,11718,859,37.0,30.5,82.6,84.8,64.9,62.5,5.09,19.5,25.2,20.7
2026-09-06,12086,681,37.2,29.9,82.3,86.5,65.7,60.7,5.3,20.5,26.3,21.0
2026-09-07,11992,690,37.1,29.8,82.3,85.8,64.7,62.0,5.37,20.0,24.9,21.4
2026-09-08,12150,754,36.8,29.3,81.5,85.8,64.6,60.6,5.15,19.8,26.7,21.3
2026-09-09,11954,681,36.8,29.1,83.0,85.3,63.4,61.2,5.12,19.9,26.9,22.1
2026-09-10,12229,724,38.2,29.7,82.8,86.5,64.8,62.1,5.53,19.9,26.6,22.0
2026-09-11,12261,686,37.8,28.7,81.4,85.7,65.0,60.8,5.69,19.5,25.9,22.2
2026-09-12,11948,739,37.3,29.1,83.4,86.2,66.4,61.7,5.33,19.7,26.8,22.2
2026-09-13,12082,681,38.0,28.5,83.7,86.7,64.7,60.0,5.69,19.5,28.4,23.1
2026-09-14,12230,877,38.1,28.6,83.0,87.1,65.7,59.3,5.49,19.1,26.8,23.1
2026-09-15,12253,719,37.6,28.8,83.4,85.8,65.0,59.7,5.74,19.5,27.9,23.5
2026-09-16,12144,865,37.7,28.3,82.1,86.4,65.8,57.1,5.81,19.4,26.9,23.3
2026-09-17,12163,680,37.9,28.5,83.0,87.5,65.5,58.8,5.86,19.3,28.3,23.6
2026-09-18,12180,902,38.1,28.8,83.6,84.8,64.8,56.7,5.91,18.8,28.5,22.9
2026-09-19,12234,882,38.1,27.7,84.0,87.1,66.0,59.0,6.06,18.5,28.7,23.2
2026-09-20,12311,811,37.9,27.5,84.7,86.4,65.0,59.0,6.22,18.5,29.3,23.3
2026-09-21,12598,716,37.4,28.0,83.0,87.0,66.0,58.1,6.09,18.7,30.8,24.2
2026-09-22,12483,737,38.2,27.6,84.6,87.3,66.1,58.2,6.2,18.4,29.6,24.3
