user_id,user_type,core_scene,channel,register_date,is_new_user
U100000,新手玩家,日常闲聊,应用商店,2026-06-29,0
U100001,回归玩家,开黑组队,内容平台,2026-05-26,0
U100002,竞技玩家,卡关,搜索引擎,2026-06-07,0
U100003,回归玩家,卡关,内容平台,2026-06-10,0
U100004,回归玩家,卡关,朋友推荐,2026-06-08,0
U100005,新手玩家,连败,朋友推荐,2026-08-12,0
U100006,竞技玩家,卡关,社交媒体,2026-07-15,0
U100007,回归玩家,连败,社交媒体,2026-07-06,0
U100008,休闲玩家,上分冲分,搜索引擎,2026-06-17,0
U100009,竞技玩家,连败,内容平台,2026-07-09,0
U100010,回归玩家,连败,社交媒体,2026-07-01,0
U100011,休闲玩家,卡关,社交媒体,2026-06-11,0
U100012,竞技玩家,连败,搜索引擎,2026-08-18,0
U100013,休闲玩家,攻略查询,社交媒体,2026-06-26,0
U100014,休闲玩家,攻略查询,朋友推荐,2026-06-28,0
U100015,回归玩家,卡关,内容平台,2026-07-28,0
U100016,竞技玩家,攻略查询,朋友推荐,2026-06-10,0
U100017,竞技玩家,连败,搜索引擎,2026-07-15,0
U100018,新手玩家,攻略查询,社交媒体,2026-08-29,0
U100019,新手玩家,连败,内容平台,2026-08-20,0
U100020,休闲玩家,卡关,应用商店,2026-06-30,0
U100021,回归玩家,上分冲分,社交媒体,2026-06-15,0
U100022,休闲玩家,连败,应用商店,2026-07-22,0
U100023,回归玩家,上分冲分,应用商店,2026-09-01,0
U100024,休闲玩家,攻略查询,应用商店,2026-07-26,0
U100025,竞技玩家,卡关,朋友推荐,2026-06-15,0
U100026,新手玩家,卡关,搜索引擎,2026-07-06,0
U100027,回归玩家,上分冲分,内容平台,2026-08-13,0
U100028,休闲玩家,上分冲分,社交媒体,2026-09-17,1
U100029,休闲玩家,连败,应用商店,2026-08-07,0
U100030,新手玩家,上分冲分,朋友推荐,2026-08-27,0
U100031,回归玩家,开黑组队,社交媒体,2026-08-02,0
U100032,竞技玩家,日常闲聊,应用商店,2026-06-15,0
U100033,新手玩家,攻略查询,内容平台,2026-09-15,1
U100034,新手玩家,开黑组队,内容平台,2026-07-13,0
U100035,竞技玩家,开黑组队,社交媒体,2026-06-18,0
U100036,新手玩家,上分冲分,内容平台,2026-09-18,1
U100037,竞技玩家,攻略查询,搜索引擎,2026-05-29,0
U100038,新手玩家,连败,应用商店,2026-07-07,0
U100039,休闲玩家,上分冲分,朋友推荐,2026-08-13,0
U100040,休闲玩家,开黑组队,应用商店,2026-09-20,1
U100041,回归玩家,连败,社交媒体,2026-05-26,0
U100042,新手玩家,开黑组队,应用商店,2026-06-10,0
U100043,休闲玩家,日常闲聊,应用商店,2026-06-17,0
U100044,新手玩家,开黑组队,社交媒体,2026-07-29,0
U100045,竞技玩家,攻略查询,应用商店,2026-06-24,0
U100046,休闲玩家,攻略查询,内容平台,2026-07-04,0
U100047,休闲玩家,攻略查询,内容平台,2026-09-14,1
U100048,休闲玩家,连败,应用商店,2026-07-22,0
U100049,休闲玩家,连败,朋友推荐,2026-06-02,0
U100050,竞技玩家,开黑组队,内容平台,2026-06-01,0
U100051,竞技玩家,攻略查询,搜索引擎,2026-09-02,0
U100052,回归玩家,上分冲分,朋友推荐,2026-09-18,1
U100053,休闲玩家,上分冲分,内容平台,2026-06-21,0
U100054,休闲玩家,开黑组队,应用商店,2026-07-29,0
U100055,竞技玩家,开黑组队,社交媒体,2026-09-13,1
U100056,休闲玩家,攻略查询,朋友推荐,2026-08-28,0
U100057,回归玩家,日常闲聊,社交媒体,2026-07-14,0
U100058,休闲玩家,日常闲聊,内容平台,2026-09-15,1
U100059,休闲玩家,开黑组队,应用商店,2026-06-16,0
U100060,回归玩家,日常闲聊,应用商店,2026-06-13,0
U100061,竞技玩家,开黑组队,搜索引擎,2026-08-07,0
U100062,竞技玩家,日常闲聊,社交媒体,2026-05-26,0
U100063,新手玩家,卡关,社交媒体,2026-06-12,0
U100064,竞技玩家,上分冲分,朋友推荐,2026-07-20,0
U100065,竞技玩家,攻略查询,社交媒体,2026-09-06,0
U100066,休闲玩家,开黑组队,内容平台,2026-08-30,0
U100067,回归玩家,开黑组队,应用商店,2026-05-30,0
U100068,回归玩家,连败,搜索引擎,2026-07-14,0
U100069,新手玩家,攻略查询,社交媒体,2026-06-09,0
U100070,竞技玩家,开黑组队,应用商店,2026-08-03,0
U100071,回归玩家,卡关,搜索引擎,2026-06-12,0
U100072,竞技玩家,日常闲聊,应用商店,2026-07-04,0
U100073,休闲玩家,日常闲聊,应用商店,2026-06-17,0
U100074,回归玩家,上分冲分,内容平台,2026-09-18,1
U100075,休闲玩家,开黑组队,应用商店,2026-07-22,0
U100076,新手玩家,卡关,搜索引擎,2026-08-23,0
U100077,新手玩家,连败,社交媒体,2026-08-22,0
U100078,休闲玩家,上分冲分,搜索引擎,2026-08-25,0
U100079,新手玩家,开黑组队,内容平台,2026-07-01,0
U100080,新手玩家,日常闲聊,社交媒体,2026-09-09,1
U100081,竞技玩家,日常闲聊,应用商店,2026-08-13,0
U100082,竞技玩家,日常闲聊,应用商店,2026-08-01,0
U100083,竞技玩家,攻略查询,搜索引擎,2026-07-12,0
U100084,新手玩家,卡关,社交媒体,2026-07-17,0
U100085,新手玩家,开黑组队,应用商店,2026-07-22,0
U100086,新手玩家,攻略查询,应用商店,2026-08-09,0
U100087,休闲玩家,上分冲分,应用商店,2026-06-02,0
U100088,休闲玩家,上分冲分,搜索引擎,2026-08-14,0
U100089,休闲玩家,连败,应用商店,2026-08-16,0
U100090,新手玩家,上分冲分,社交媒体,2026-06-08,0
U100091,竞技玩家,日常闲聊,社交媒体,2026-06-28,0
U100092,新手玩家,上分冲分,内容平台,2026-09-08,1
U100093,竞技玩家,攻略查询,内容平台,2026-08-26,0
U100094,新手玩家,上分冲分,搜索引擎,2026-07-08,0
U100095,竞技玩家,日常闲聊,朋友推荐,2026-09-21,1
U100096,竞技玩家,卡关,社交媒体,2026-07-28,0
U100097,新手玩家,连败,搜索引擎,2026-05-27,0
U100098,新手玩家,连败,应用商店,2026-06-17,0
U100099,竞技玩家,连败,社交媒体,2026-09-17,1
U100100,休闲玩家,上分冲分,应用商店,2026-06-09,0
U100101,竞技玩家,日常闲聊,社交媒体,2026-08-02,0
U100102,休闲玩家,连败,朋友推荐,2026-06-19,0
U100103,休闲玩家,卡关,应用商店,2026-07-24,0
U100104,竞技玩家,攻略查询,搜索引擎,2026-07-16,0
U100105,回归玩家,开黑组队,社交媒体,2026-07-16,0
U100106,回归玩家,上分冲分,内容平台,2026-06-15,0
U100107,新手玩家,上分冲分,应用商店,2026-09-07,0
U100108,新手玩家,攻略查询,搜索引擎,2026-08-11,0
U100109,竞技玩家,卡关,应用商店,2026-07-15,0
U100110,竞技玩家,卡关,应用商店,2026-05-29,0
